topology,N,graph_seed,probe_eps,probe_dir_mode,probe_mode,score_mean,pmir_seeds,censored_frac,score_std
grid2d_periodic,1024,0,0.14,random,add_to_x,0.06616712352361534,30,0.16666666666666666,0.21488522046919536
grid2d_periodic,1024,0,0.14,smooth,add_to_dx,0.0483511414697966,30,0.3333333333333333,0.14020505881782588
grid2d_periodic,1024,0,0.14,smooth,add_to_x,0.7407281031385343,30,0.6666666666666666,0.43568810596004653
grid2d_periodic,1024,0,0.2,fiedler,add_to_dx,0.0960185299462458,30,0.3,0.20371624028478788
grid2d_periodic,1024,0,0.2,fiedler,add_to_x,0.9925873489746233,30,1.0,0.42918797862269026
grid2d_periodic,1024,0,0.2,random,add_to_dx,0.007236295286112649,30,0.16666666666666666,0.04331102161113962
grid2d_periodic,1024,0,0.2,random,add_to_x,0.09155262273292038,30,0.2,0.27894154917938535
grid2d_periodic,1024,0,0.2,smooth,add_to_dx,0.07634906834304767,30,0.26666666666666666,0.18299354485898367
grid2d_periodic,1024,0,0.2,smooth,add_to_x,0.8647781887652913,30,0.7666666666666667,0.45938373175684855
grid2d_periodic,1024,1,0.002,fiedler,add_to_dx,0.0005796369768280066,30,0.13333333333333333,0.001486993002356772
grid2d_periodic,1024,1,0.002,fiedler,add_to_x,0.03273000300834574,30,0.1,0.0880021640837221
grid2d_periodic,1024,1,0.002,random,add_to_dx,-1.7438509618813503e-06,30,0.23333333333333334,0.00018295922225472678
grid2d_periodic,1024,1,0.002,random,add_to_x,7.880160680672513e-05,30,0.2,0.003579144315374936
grid2d_periodic,1024,1,0.002,smooth,add_to_dx,0.00032900039631204403,30,0.23333333333333334,0.0013843506802352463
grid2d_periodic,1024,1,0.002,smooth,add_to_x,0.01810655011399622,30,0.3,0.06199626376679828
grid2d_periodic,1024,1,0.005,fiedler,add_to_dx,0.0015814217947741733,30,0.13333333333333333,0.003842619855459693
grid2d_periodic,1024,1,0.005,fiedler,add_to_x,0.059202019274038495,30,0.2,0.11282925344979212
grid2d_periodic,1024,1,0.005,random,add_to_dx,-3.402818073595272e-06,30,0.23333333333333334,0.0004561042495999367
grid2d_periodic,1024,1,0.005,random,add_to_x,0.0007976309122749938,30,0.2,0.009743892749090296
grid2d_periodic,1024,1,0.005,smooth,add_to_dx,0.0009286652629122247,30,0.23333333333333334,0.0035945638606933164
grid2d_periodic,1024,1,0.005,smooth,add_to_x,0.03836402855613968,30,0.36666666666666664,0.11720265200521647
grid2d_periodic,1024,1,0.01,fiedler,add_to_dx,0.0036392274894876397,30,0.13333333333333333,0.008584794911208369
grid2d_periodic,1024,1,0.01,fiedler,add_to_x,0.0960185299462458,30,0.3,0.20371624028478788
grid2d_periodic,1024,1,0.01,random,add_to_dx,-3.472817475168509e-06,30,0.23333333333333334,0.0009079997764889433
grid2d_periodic,1024,1,0.01,random,add_to_x,0.007236295286115983,30,0.16666666666666666,0.043311021611157116
grid2d_periodic,1024,1,0.01,smooth,add_to_dx,0.0021504612309687574,30,0.23333333333333334,0.007656373933917778
grid2d_periodic,1024,1,0.01,smooth,add_to_x,0.07634906834304676,30,0.26666666666666666,0.18299354485898403
grid2d_periodic,1024,1,0.02,fiedler,add_to_dx,0.01996276314625643,30,0.13333333333333333,0.061290825395094735
grid2d_periodic,1024,1,0.02,fiedler,add_to_x,0.21787111218147667,30,0.4666666666666667,0.3155477874782954
grid2d_periodic,1024,1,0.02,random,add_to_dx,7.305357532791343e-06,30,0.2,0.0018011316824409378
grid2d_periodic,1024,1,0.02,random,add_to_x,0.011596993934023051,30,0.13333333333333333,0.061134481718626656
grid2d_periodic,1024,1,0.02,smooth,add_to_dx,0.005528117403670287,30,0.26666666666666666,0.01864552315143886
grid2d_periodic,1024,1,0.02,smooth,add_to_x,0.18588939278453223,30,0.3333333333333333,0.3311606658887594
grid2d_periodic,1024,1,0.035,fiedler,add_to_dx,0.030217708633339217,30,0.1,0.08537784298081909
grid2d_periodic,1024,1,0.035,fiedler,add_to_x,0.38231203970707767,30,0.5666666666666667,0.32380653372101614
grid2d_periodic,1024,1,0.035,random,add_to_dx,5.387768395387372e-05,30,0.2,0.003131233728267683
grid2d_periodic,1024,1,0.035,random,add_to_x,0.022515790939106363,30,0.2,0.09043580517471808
grid2d_periodic,1024,1,0.035,smooth,add_to_dx,0.015661205607376702,30,0.3,0.055876510091369846
grid2d_periodic,1024,1,0.035,smooth,add_to_x,0.3256328378734384,30,0.5666666666666667,0.38207510859705196
grid2d_periodic,1024,1,0.05,fiedler,add_to_dx,0.0368744773898586,30,0.13333333333333333,0.09217893045371171
grid2d_periodic,1024,1,0.05,fiedler,add_to_x,0.541801646061005,30,0.7,0.3358736868813582
grid2d_periodic,1024,1,0.05,random,add_to_dx,0.00014602794584134152,30,0.2,0.004497323365858886
grid2d_periodic,1024,1,0.05,random,add_to_x,0.02871940969730943,30,0.2,0.10838614156252686
grid2d_periodic,1024,1,0.05,smooth,add_to_dx,0.02447068686350428,30,0.3333333333333333,0.08041385228659483
grid2d_periodic,1024,1,0.05,smooth,add_to_x,0.467423213696676,30,0.5666666666666667,0.3506804365205341
grid2d_periodic,1024,1,0.07,fiedler,add_to_dx,0.045136969597298765,30,0.16666666666666666,0.10078405127727243
grid2d_periodic,1024,1,0.07,fiedler,add_to_x,0.7019672257755537,30,0.8666666666666667,0.36150361679552895
grid2d_periodic,1024,1,0.07,random,add_to_dx,0.00036003609169099463,30,0.2,0.006493418119810927
grid2d_periodic,1024,1,0.07,random,add_to_x,0.0380774525773844,30,0.23333333333333334,0.12872876771908423
grid2d_periodic,1024,1,0.07,smooth,add_to_dx,0.03156772639088316,30,0.36666666666666664,0.10298691743667289
grid2d_periodic,1024,1,0.07,smooth,add_to_x,0.5675178274190473,30,0.6,0.3606680836486246
grid2d_periodic,1024,1,0.1,fiedler,add_to_dx,0.059202019274038495,30,0.2,0.11282925344979212
grid2d_periodic,1024,1,0.1,fiedler,add_to_x,0.798288095208365,30,0.9,0.3908381933642269
grid2d_periodic,1024,1,0.1,random,add_to_dx,0.0007976309122749938,30,0.2,0.009743892749090296
grid2d_periodic,1024,1,0.1,random,add_to_x,0.04141452466271927,30,0.16666666666666666,0.14057991145995732
grid2d_periodic,1024,1,0.1,smooth,add_to_dx,0.03836402855613635,30,0.36666666666666664,0.11720265200520663
grid2d_periodic,1024,1,0.1,smooth,add_to_x,0.6488602414425787,30,0.6333333333333333,0.42128308359729855
grid2d_periodic,1024,1,0.14,fiedler,add_to_dx,0.07989909165577354,30,0.26666666666666666,0.13422468542963226
grid2d_periodic,1024,1,0.14,fiedler,add_to_x,0.8972310780603467,30,1.0,0.4251305253253932
grid2d_periodic,1024,1,0.14,random,add_to_dx,0.00177586795486585,30,0.16666666666666666,0.015302256033841144
grid2d_periodic,1024,1,0.14,random,add_to_x,0.06616712352361534,30,0.16666666666666666,0.21488522046919536
grid2d_periodic,1024,1,0.14,smooth,add_to_dx,0.0483511414697966,30,0.3333333333333333,0.14020505881782588
grid2d_periodic,1024,1,0.14,smooth,add_to_x,0.7407281031385343,30,0.6666666666666666,0.43568810596004653
grid2d_periodic,1024,1,0.2,fiedler,add_to_dx,0.0960185299462458,30,0.3,0.20371624028478788
grid2d_periodic,1024,1,0.2,fiedler,add_to_x,0.9925873489746233,30,1.0,0.42918797862269026
grid2d_periodic,1024,1,0.2,random,add_to_dx,0.007236295286112649,30,0.16666666666666666,0.04331102161113962
grid2d_periodic,1024,1,0.2,random,add_to_x,0.09155262273292038,30,0.2,0.27894154917938535
grid2d_periodic,1024,1,0.2,smooth,add_to_dx,0.07634906834304767,30,0.26666666666666666,0.18299354485898367
grid2d_periodic,1024,1,0.2,smooth,add_to_x,0.8647781887652913,30,0.7666666666666667,0.45938373175684855
grid2d_periodic,1024,2,0.002,fiedler,add_to_dx,0.0005796369768280066,30,0.13333333333333333,0.001486993002356772
grid2d_periodic,1024,2,0.002,fiedler,add_to_x,0.03273000300834574,30,0.1,0.0880021640837221
grid2d_periodic,1024,2,0.002,random,add_to_dx,-1.7438509618813503e-06,30,0.23333333333333334,0.00018295922225472678
grid2d_periodic,1024,2,0.002,random,add_to_x,7.880160680672513e-05,30,0.2,0.003579144315374936
grid2d_periodic,1024,2,0.002,smooth,add_to_dx,0.00032900039631204403,30,0.23333333333333334,0.0013843506802352463
grid2d_periodic,1024,2,0.002,smooth,add_to_x,0.01810655011399622,30,0.3,0.06199626376679828
grid2d_periodic,1024,2,0.005,fiedler,add_to_dx,0.0015814217947741733,30,0.13333333333333333,0.003842619855459693
grid2d_periodic,1024,2,0.005,fiedler,add_to_x,0.059202019274038495,30,0.2,0.11282925344979212
grid2d_periodic,1024,2,0.005,random,add_to_dx,-3.402818073595272e-06,30,0.23333333333333334,0.0004561042495999367
grid2d_periodic,1024,2,0.005,random,add_to_x,0.0007976309122749938,30,0.2,0.009743892749090296
grid2d_periodic,1024,2,0.005,smooth,add_to_dx,0.0009286652629122247,30,0.23333333333333334,0.0035945638606933164
grid2d_periodic,1024,2,0.005,smooth,add_to_x,0.03836402855613968,30,0.36666666666666664,0.11720265200521647
grid2d_periodic,1024,2,0.01,fiedler,add_to_dx,0.0036392274894876397,30,0.13333333333333333,0.008584794911208369
grid2d_periodic,1024,2,0.01,fiedler,add_to_x,0.0960185299462458,30,0.3,0.20371624028478788
grid2d_periodic,1024,2,0.01,random,add_to_dx,-3.472817475168509e-06,30,0.23333333333333334,0.0009079997764889433
grid2d_periodic,1024,2,0.01,random,add_to_x,0.007236295286115983,30,0.16666666666666666,0.043311021611157116
grid2d_periodic,1024,2,0.01,smooth,add_to_dx,0.0021504612309687574,30,0.23333333333333334,0.007656373933917778
grid2d_periodic,1024,2,0.01,smooth,add_to_x,0.07634906834304676,30,0.26666666666666666,0.18299354485898403
grid2d_periodic,1024,2,0.02,fiedler,add_to_dx,0.01996276314625643,30,0.13333333333333333,0.061290825395094735
grid2d_periodic,1024,2,0.02,fiedler,add_to_x,0.21787111218147667,30,0.4666666666666667,0.3155477874782954
grid2d_periodic,1024,2,0.02,random,add_to_dx,7.305357532791343e-06,30,0.2,0.0018011316824409378
grid2d_periodic,1024,2,0.02,random,add_to_x,0.011596993934023051,30,0.13333333333333333,0.061134481718626656
grid2d_periodic,1024,2,0.02,smooth,add_to_dx,0.005528117403670287,30,0.26666666666666666,0.01864552315143886
grid2d_periodic,1024,2,0.02,smooth,add_to_x,0.18588939278453223,30,0.3333333333333333,0.3311606658887594
grid2d_periodic,1024,2,0.035,fiedler,add_to_dx,0.030217708633339217,30,0.1,0.08537784298081909
grid2d_periodic,1024,2,0.035,fiedler,add_to_x,0.38231203970707767,30,0.5666666666666667,0.32380653372101614
grid2d_periodic,1024,2,0.035,random,add_to_dx,5.387768395387372e-05,30,0.2,0.003131233728267683
grid2d_periodic,1024,2,0.035,random,add_to_x,0.022515790939106363,30,0.2,0.09043580517471808
grid2d_periodic,1024,2,0.035,smooth,add_to_dx,0.015661205607376702,30,0.3,0.055876510091369846
grid2d_periodic,1024,2,0.035,smooth,add_to_x,0.3256328378734384,30,0.5666666666666667,0.38207510859705196
grid2d_periodic,1024,2,0.05,fiedler,add_to_dx,0.0368744773898586,30,0.13333333333333333,0.09217893045371171
grid2d_periodic,1024,2,0.05,fiedler,add_to_x,0.541801646061005,30,0.7,0.3358736868813582
grid2d_periodic,1024,2,0.05,random,add_to_dx,0.00014602794584134152,30,0.2,0.004497323365858886
grid2d_periodic,1024,2,0.05,random,add_to_x,0.02871940969730943,30,0.2,0.10838614156252686
grid2d_periodic,1024,2,0.05,smooth,add_to_dx,0.02447068686350428,30,0.3333333333333333,0.08041385228659483
grid2d_periodic,1024,2,0.05,smooth,add_to_x,0.467423213696676,30,0.5666666666666667,0.3506804365205341
grid2d_periodic,1024,2,0.07,fiedler,add_to_dx,0.045136969597298765,30,0.16666666666666666,0.10078405127727243
grid2d_periodic,1024,2,0.07,fiedler,add_to_x,0.7019672257755537,30,0.8666666666666667,0.36150361679552895
grid2d_periodic,1024,2,0.07,random,add_to_dx,0.00036003609169099463,30,0.2,0.006493418119810927
grid2d_periodic,1024,2,0.07,random,add_to_x,0.0380774525773844,30,0.23333333333333334,0.12872876771908423
grid2d_periodic,1024,2,0.07,smooth,add_to_dx,0.03156772639088316,30,0.36666666666666664,0.10298691743667289
grid2d_periodic,1024,2,0.07,smooth,add_to_x,0.5675178274190473,30,0.6,0.3606680836486246
grid2d_periodic,1024,2,0.1,fiedler,add_to_dx,0.059202019274038495,30,0.2,0.11282925344979212
grid2d_periodic,1024,2,0.1,fiedler,add_to_x,0.798288095208365,30,0.9,0.3908381933642269
grid2d_periodic,1024,2,0.1,random,add_to_dx,0.0007976309122749938,30,0.2,0.009743892749090296
grid2d_periodic,1024,2,0.1,random,add_to_x,0.04141452466271927,30,0.16666666666666666,0.14057991145995732
grid2d_periodic,1024,2,0.1,smooth,add_to_dx,0.03836402855613635,30,0.36666666666666664,0.11720265200520663
grid2d_periodic,1024,2,0.1,smooth,add_to_x,0.6488602414425787,30,0.6333333333333333,0.42128308359729855
grid2d_periodic,1024,2,0.14,fiedler,add_to_dx,0.07989909165577354,30,0.26666666666666666,0.13422468542963226
grid2d_periodic,1024,2,0.14,fiedler,add_to_x,0.8972310780603467,30,1.0,0.4251305253253932
grid2d_periodic,1024,2,0.14,random,add_to_dx,0.00177586795486585,30,0.16666666666666666,0.015302256033841144
grid2d_periodic,1024,2,0.14,random,add_to_x,0.06616712352361534,30,0.16666666666666666,0.21488522046919536
grid2d_periodic,1024,2,0.14,smooth,add_to_dx,0.0483511414697966,30,0.3333333333333333,0.14020505881782588
grid2d_periodic,1024,2,0.14,smooth,add_to_x,0.7407281031385343,30,0.6666666666666666,0.43568810596004653
grid2d_periodic,1024,2,0.2,fiedler,add_to_dx,0.0960185299462458,30,0.3,0.20371624028478788
grid2d_periodic,1024,2,0.2,fiedler,add_to_x,0.9925873489746233,30,1.0,0.42918797862269026
grid2d_periodic,1024,2,0.2,random,add_to_dx,0.007236295286112649,30,0.16666666666666666,0.04331102161113962
grid2d_periodic,1024,2,0.2,random,add_to_x,0.09155262273292038,30,0.2,0.27894154917938535
grid2d_periodic,1024,2,0.2,smooth,add_to_dx,0.07634906834304767,30,0.26666666666666666,0.18299354485898367
grid2d_periodic,1024,2,0.2,smooth,add_to_x,0.8647781887652913,30,0.7666666666666667,0.45938373175684855
grid2d_periodic,1024,3,0.002,fiedler,add_to_dx,0.0005796369768280066,30,0.13333333333333333,0.001486993002356772
grid2d_periodic,1024,3,0.002,fiedler,add_to_x,0.03273000300834574,30,0.1,0.0880021640837221
grid2d_periodic,1024,3,0.002,random,add_to_dx,-1.7438509618813503e-06,30,0.23333333333333334,0.00018295922225472678
grid2d_periodic,1024,3,0.002,random,add_to_x,7.880160680672513e-05,30,0.2,0.003579144315374936
grid2d_periodic,1024,3,0.002,smooth,add_to_dx,0.00032900039631204403,30,0.23333333333333334,0.0013843506802352463
grid2d_periodic,1024,3,0.002,smooth,add_to_x,0.01810655011399622,30,0.3,0.06199626376679828
grid2d_periodic,1024,3,0.005,fiedler,add_to_dx,0.0015814217947741733,30,0.13333333333333333,0.003842619855459693
grid2d_periodic,1024,3,0.005,fiedler,add_to_x,0.059202019274038495,30,0.2,0.11282925344979212
grid2d_periodic,1024,3,0.005,random,add_to_dx,-3.402818073595272e-06,30,0.23333333333333334,0.0004561042495999367
grid2d_periodic,1024,3,0.005,random,add_to_x,0.0007976309122749938,30,0.2,0.009743892749090296
grid2d_periodic,1024,3,0.005,smooth,add_to_dx,0.0009286652629122247,30,0.23333333333333334,0.0035945638606933164
grid2d_periodic,1024,3,0.005,smooth,add_to_x,0.03836402855613968,30,0.36666666666666664,0.11720265200521647
grid2d_periodic,1024,3,0.01,fiedler,add_to_dx,0.0036392274894876397,30,0.13333333333333333,0.008584794911208369
grid2d_periodic,1024,3,0.01,fiedler,add_to_x,0.0960185299462458,30,0.3,0.20371624028478788
grid2d_periodic,1024,3,0.01,random,add_to_dx,-3.472817475168509e-06,30,0.23333333333333334,0.0009079997764889433
grid2d_periodic,1024,3,0.01,random,add_to_x,0.007236295286115983,30,0.16666666666666666,0.043311021611157116
grid2d_periodic,1024,3,0.01,smooth,add_to_dx,0.0021504612309687574,30,0.23333333333333334,0.007656373933917778
grid2d_periodic,1024,3,0.01,smooth,add_to_x,0.07634906834304676,30,0.26666666666666666,0.18299354485898403
grid2d_periodic,1024,3,0.02,fiedler,add_to_dx,0.01996276314625643,30,0.13333333333333333,0.061290825395094735
grid2d_periodic,1024,3,0.02,fiedler,add_to_x,0.21787111218147667,30,0.4666666666666667,0.3155477874782954
grid2d_periodic,1024,3,0.02,random,add_to_dx,7.305357532791343e-06,30,0.2,0.0018011316824409378
grid2d_periodic,1024,3,0.02,random,add_to_x,0.011596993934023051,30,0.13333333333333333,0.061134481718626656
grid2d_periodic,1024,3,0.02,smooth,add_to_dx,0.005528117403670287,30,0.26666666666666666,0.01864552315143886
grid2d_periodic,1024,3,0.02,smooth,add_to_x,0.18588939278453223,30,0.3333333333333333,0.3311606658887594
grid2d_periodic,1024,3,0.035,fiedler,add_to_dx,0.030217708633339217,30,0.1,0.08537784298081909
grid2d_periodic,1024,3,0.035,fiedler,add_to_x,0.38231203970707767,30,0.5666666666666667,0.32380653372101614
grid2d_periodic,1024,3,0.035,random,add_to_dx,5.387768395387372e-05,30,0.2,0.003131233728267683
grid2d_periodic,1024,3,0.035,random,add_to_x,0.022515790939106363,30,0.2,0.09043580517471808
grid2d_periodic,1024,3,0.035,smooth,add_to_dx,0.015661205607376702,30,0.3,0.055876510091369846
grid2d_periodic,1024,3,0.035,smooth,add_to_x,0.3256328378734384,30,0.5666666666666667,0.38207510859705196
grid2d_periodic,1024,3,0.05,fiedler,add_to_dx,0.0368744773898586,30,0.13333333333333333,0.09217893045371171
grid2d_periodic,1024,3,0.05,fiedler,add_to_x,0.541801646061005,30,0.7,0.3358736868813582
grid2d_periodic,1024,3,0.05,random,add_to_dx,0.00014602794584134152,30,0.2,0.004497323365858886
grid2d_periodic,1024,3,0.05,random,add_to_x,0.02871940969730943,30,0.2,0.10838614156252686
grid2d_periodic,1024,3,0.05,smooth,add_to_dx,0.02447068686350428,30,0.3333333333333333,0.08041385228659483
grid2d_periodic,1024,3,0.05,smooth,add_to_x,0.467423213696676,30,0.5666666666666667,0.3506804365205341
grid2d_periodic,1024,3,0.07,fiedler,add_to_dx,0.045136969597298765,30,0.16666666666666666,0.10078405127727243
grid2d_periodic,1024,3,0.07,fiedler,add_to_x,0.7019672257755537,30,0.8666666666666667,0.36150361679552895
grid2d_periodic,1024,3,0.07,random,add_to_dx,0.00036003609169099463,30,0.2,0.006493418119810927
grid2d_periodic,1024,3,0.07,random,add_to_x,0.0380774525773844,30,0.23333333333333334,0.12872876771908423
grid2d_periodic,1024,3,0.07,smooth,add_to_dx,0.03156772639088316,30,0.36666666666666664,0.10298691743667289
grid2d_periodic,1024,3,0.07,smooth,add_to_x,0.5675178274190473,30,0.6,0.3606680836486246
grid2d_periodic,1024,3,0.1,fiedler,add_to_dx,0.059202019274038495,30,0.2,0.11282925344979212
grid2d_periodic,1024,3,0.1,fiedler,add_to_x,0.798288095208365,30,0.9,0.3908381933642269
grid2d_periodic,1024,3,0.1,random,add_to_dx,0.0007976309122749938,30,0.2,0.009743892749090296
grid2d_periodic,1024,3,0.1,random,add_to_x,0.04141452466271927,30,0.16666666666666666,0.14057991145995732
grid2d_periodic,1024,3,0.1,smooth,add_to_dx,0.03836402855613635,30,0.36666666666666664,0.11720265200520663
grid2d_periodic,1024,3,0.1,smooth,add_to_x,0.6488602414425787,30,0.6333333333333333,0.42128308359729855
grid2d_periodic,1024,3,0.14,fiedler,add_to_dx,0.07989909165577354,30,0.26666666666666666,0.13422468542963226
grid2d_periodic,1024,3,0.14,fiedler,add_to_x,0.8972310780603467,30,1.0,0.4251305253253932
grid2d_periodic,1024,3,0.14,random,add_to_dx,0.00177586795486585,30,0.16666666666666666,0.015302256033841144
grid2d_periodic,1024,3,0.14,random,add_to_x,0.06616712352361534,30,0.16666666666666666,0.21488522046919536
grid2d_periodic,1024,3,0.14,smooth,add_to_dx,0.0483511414697966,30,0.3333333333333333,0.14020505881782588
grid2d_periodic,1024,3,0.14,smooth,add_to_x,0.7407281031385343,30,0.6666666666666666,0.43568810596004653
grid2d_periodic,1024,3,0.2,fiedler,add_to_dx,0.0960185299462458,30,0.3,0.20371624028478788
grid2d_periodic,1024,3,0.2,fiedler,add_to_x,0.9925873489746233,30,1.0,0.42918797862269026
grid2d_periodic,1024,3,0.2,random,add_to_dx,0.007236295286112649,30,0.16666666666666666,0.04331102161113962
grid2d_periodic,1024,3,0.2,random,add_to_x,0.09155262273292038,30,0.2,0.27894154917938535
grid2d_periodic,1024,3,0.2,smooth,add_to_dx,0.07634906834304767,30,0.26666666666666666,0.18299354485898367
grid2d_periodic,1024,3,0.2,smooth,add_to_x,0.8647781887652913,30,0.7666666666666667,0.45938373175684855
grid2d_periodic,1024,4,0.002,fiedler,add_to_dx,0.0005796369768280066,30,0.13333333333333333,0.001486993002356772
grid2d_periodic,1024,4,0.002,fiedler,add_to_x,0.03273000300834574,30,0.1,0.0880021640837221
grid2d_periodic,1024,4,0.002,random,add_to_dx,-1.7438509618813503e-06,30,0.23333333333333334,0.00018295922225472678
grid2d_periodic,1024,4,0.002,random,add_to_x,7.880160680672513e-05,30,0.2,0.003579144315374936
grid2d_periodic,1024,4,0.002,smooth,add_to_dx,0.00032900039631204403,30,0.23333333333333334,0.0013843506802352463
grid2d_periodic,1024,4,0.002,smooth,add_to_x,0.01810655011399622,30,0.3,0.06199626376679828
grid2d_periodic,1024,4,0.005,fiedler,add_to_dx,0.0015814217947741733,30,0.13333333333333333,0.003842619855459693
grid2d_periodic,1024,4,0.005,fiedler,add_to_x,0.059202019274038495,30,0.2,0.11282925344979212
grid2d_periodic,1024,4,0.005,random,add_to_dx,-3.402818073595272e-06,30,0.23333333333333334,0.0004561042495999367
